# icr-intercell cell line name dictionary v0.2		
#		
# jamesc@icr.ac.uk, 13th May 2014"		
#		
# This file is used as a dictionary to standardise cell line names in different data sets		
# Cell line names found in the first column (cell_line_name) should be converted to those		
# given in the second column (intercell_name).		
#		
# cell line name sources used:		
#		COSMIC CLP (http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/download -> CosmicCLP_CompleteExport_v68.tsv.gz)
#		CCLE (http://www.broadinstitute.org/ccle/data/browseData -> registration required -> CCLE_sample_info_file_2012-10-18.txt)
#		Intercell (http://www.ncbi.nlm.nih.gov/pubmed/21984977)
#		
# The cell line names used in the Intercell analysis attempt to follow the CCLE naming convention. The CCLE nameing convention comprises		
# the cell line name (containing only numbers and upper case letters) followed by an underscore, followed by the tissue in upper case."		
# Where a cell line was not present in the CCLE data, a best effort was made to use the tissue type as given by the CCLE."		
#		
# Changes:		
# v0.2 - changed 'PANCREAS' to 'PANCREAS' for the Biankin lines (TKCC*)		
# 8th Jan 2015 - added ovarian lines such as TOV21G (in house names)		
#		
#cell_line_name	intercell_name	source
A101D_SKIN	A101D_SKIN	CCLE
A1207_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	CCLE
A172	A172_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
A172	A172_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
A172_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	CCLE
A204	A204_SOFT_TISSUE	cosmic_clp
A204	A204_SOFT_TISSUE	gdsc_en_input
A204_SOFT_TISSUE	A204_SOFT_TISSUE	CCLE
A2058	A2058_SKIN	cosmic_clp
A2058	A2058_SKIN	gdsc_en_input
A2058_SKIN	A2058_SKIN	CCLE
A253	A253_SALIVARY_GLAND	cosmic_clp
A253	A253_SALIVARY_GLAND	gdsc_en_input
A253_SALIVARY_GLAND	A253_SALIVARY_GLAND	CCLE
A2780	A2780_OVARY	cosmic_clp
A2780	A2780_OVARY	gdsc_en_input
A2780_OVARY	A2780_OVARY	CCLE
A3-KAW	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
A3-KAW	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
A375	A375_SKIN	cosmic_clp
A375	A375_SKIN	gdsc_en_input
A375_SKIN	A375_SKIN	CCLE
A388	A388_NS	cosmic_clp
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
A4-Fuk	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
A4-Fuk	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
A427	A427_LUNG	cosmic_clp
A427	A427_LUNG	gdsc_en_input
A427_LUNG	A427_LUNG	intercell
A431	A431_SKIN	cosmic_clp
A431	A431_SKIN	gdsc_en_input
A498	A498_KIDNEY	cosmic_clp
A498	A498_KIDNEY	gdsc_en_input
A498_KIDNEY	A498_KIDNEY	CCLE
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
A549	A549_LUNG	cosmic_clp
A549	A549_LUNG	gdsc_en_input
A549_LUNG	A549_LUNG	CCLE
A549_LUNG	A549_LUNG	intercell
A549DMSO_LUNG	A549_LUNG	intercell
A673	A673_BONE	cosmic_clp
A673	A673_BONE	gdsc_en_input
A673_BONE	A673_BONE	CCLE
A704	A704_KIDNEY	cosmic_clp
A704	A704_KIDNEY	gdsc_en_input
A704_KIDNEY	A704_KIDNEY	CCLE
ABC-1	ABC1_LUNG	cosmic_clp
ABC-1	ABC1_LUNG	gdsc_en_input
ABC1_LUNG	ABC1_LUNG	CCLE
AC216_LUNG	AC216_LUNG	intercell
AC295_LUNG	AC295_LUNG	intercell
AC375_LUNG	AC375_LUNG	intercell
ACC419	ACC419_UNKOWN	cosmic_clp
ACC83	ACC83_UNKOWN	cosmic_clp
ACCMESO1_PLEURA	ACCMESO1_PLEURA	CCLE
ACCS_URINARY_TRACT	ACCS_URINARY_TRACT	CCLE
ACHN	ACHN_KIDNEY	cosmic_clp
ACHN	ACHN_KIDNEY	gdsc_en_input
ACHN_KIDNEY	ACHN_KIDNEY	CCLE
ACN	ACN_AUTONOMIC_GANGLIA	cosmic_clp
ACN	ACN_AUTONOMIC_GANGLIA	gdsc_en_input
AGS	AGS_STOMACH	cosmic_clp
AGS	AGS_STOMACH	gdsc_en_input
AGS_STOMACH	AGS_STOMACH	CCLE
AHEZ_LUNG	AHEZ_LUNG	intercell
ALEXANDERCELLS_LIVER	ALEXANDERCELLS_LIVER	CCLE
ALL-PO	ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
ALL-PO	ALLPO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
ALL-SIL	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
AM-38	AM38_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
AM-38	AM38_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
AM38_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CCLE
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
AMO-1	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
AN3-CA	AN3CA_ENDOMETRIUM	cosmic_clp
AN3-CA	AN3CA_ENDOMETRIUM	gdsc_en_input
AN3CA_ENDOMETRIUM	AN3CA_ENDOMETRIUM	CCLE
AN3CA_ENDOMETRIUM	AN3CA_ENDOMETRIUM	intercell
ARH-77	ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
ARH-77	ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
ASH-3	ASH3_NS	cosmic_clp
AsPC-1	ASPC1_PANCREAS	cosmic_clp
AsPC-1	ASPC1_PANCREAS	gdsc_en_input
ASPC1_PANCREAS	ASPC1_PANCREAS	CCLE
ASPC1_PANCREAS	ASPC1_PANCREAS	intercell
ATN-1	ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
ATN-1	ATN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
AU565	AU565_BREAST	cosmic_clp
AU565_BREAST	AU565_BREAST	CCLE
AZ521_STOMACH	AZ521_STOMACH	CCLE
B0097	B0097_UNKOWN	cosmic_clp
B0118	B0118_UNKOWN	cosmic_clp
B0126.1	B01261_UNKOWN	cosmic_clp
BALL-1	BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BALL-1	BALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BB30-HNC	BB30HNC_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BB30-HNC	BB30HNC_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
BB49-HNC	BB49HNC_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BB49-HNC	BB49HNC_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
BB65-RCC	BB65RCC_KIDNEY	cosmic_clp
BB65-RCC	BB65RCC_KIDNEY	gdsc_en_input
BC-1	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BC-1	BC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BC-3	BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BC-3	BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BC3C_URINARY_TRACT	BC3C_URINARY_TRACT	CCLE
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
BCPAP	BCPAP_THYROID	cosmic_clp
BCPAP	BCPAP_THYROID	gdsc_en_input
BCPAP_THYROID	BCPAP_THYROID	CCLE
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
BE-13	BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BE-13	BE13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BE2-M17	BE2M17_AUTONOMIC_GANGLIA	cosmic_clp
Becker	BECKER_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
Becker	BECKER_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
BECKER_CENTRAL_NERVOUS_SYSTEM	BECKER_CENTRAL_NERVOUS_SYSTEM	CCLE
BEN	BEN_LUNG	cosmic_clp
BEN	BEN_LUNG	gdsc_en_input
BEN_LUNG	BEN_LUNG	CCLE
BEN_LUNG	BEN_LUNG	intercell
BFTC-905	BFTC905_URINARY_TRACT	cosmic_clp
BFTC-905	BFTC905_URINARY_TRACT	gdsc_en_input
BFTC-909	BFTC909_KIDNEY	cosmic_clp
BFTC-909	BFTC909_KIDNEY	gdsc_en_input
BFTC905_URINARY_TRACT	BFTC905_URINARY_TRACT	CCLE
BFTC909_KIDNEY	BFTC909_KIDNEY	CCLE
BHT-101	BHT101_THYROID	cosmic_clp
BHT-101	BHT101_THYROID	gdsc_en_input
BHT101_THYROID	BHT101_THYROID	CCLE
BHY	BHY_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BHY	BHY_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
BHY_UPPER_AERODIGESTIVE_TRACT	BHY_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR10	BICR10_NS	cosmic_clp
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR16_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR18_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR22	BICR22_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR22_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR31	BICR31_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR31_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR56_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR6_UPPER_AERODIGESTIVE_TRACT	CCLE
BICR78	BICR78_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
BJHTERT_SKIN	BJHTERT_SKIN	CCLE
BL-41	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BL-41	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BL-70	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
BOKU	BOKU_UNKNOWN	gdsc_en_input
BONNA-12	BONNA12_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BPH-1	BPH1_PROSTATE	cosmic_clp
BPH-1	BPH1_PROSTATE	gdsc_en_input
BT-20	BT20_BREAST	cosmic_clp
BT-20	BT20_BREAST	gdsc_en_input
BT-474	BT474_BREAST	cosmic_clp
BT-483	BT483_BREAST	cosmic_clp
BT-549	BT549_BREAST	cosmic_clp
BT-549	BT549_BREAST	gdsc_en_input
BT20_BREAST	BT20_BREAST	CCLE
BT20_BREAST	BT20_BREAST	intercell
BT474_BREAST	BT474_BREAST	CCLE
BT474_BREAST	BT474_BREAST	intercell
BT483_BREAST	BT483_BREAST	CCLE
BT549_BREAST	BT549_BREAST	CCLE
BT549_BREAST	BT549_BREAST	intercell
BV-173	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
BV-173	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
BxPC-3	BXPC3_PANCREAS	cosmic_clp
BxPC-3	BXPC3_PANCREAS	gdsc_en_input
BXPC3_PANCREAS	BXPC3_PANCREAS	CCLE
BXPC3_PANCREAS	BXPC3_PANCREAS	intercell
C-33-A	C33A_CERVICAL	cosmic_clp
C-4-I	C4I_CERVICAL	cosmic_clp
C-4-II	C4II_UNKNOWN	gdsc_en_input
C2BBe1	C2BBE1_LARGE_INTESTINE	cosmic_clp
C2BBe1	C2BBE1_LARGE_INTESTINE	gdsc_en_input
C2BBE1_LARGE_INTESTINE	C2BBE1_LARGE_INTESTINE	CCLE
C32	C32_SKIN	cosmic_clp
C32	C32_SKIN	gdsc_en_input
C32_SKIN	C32_SKIN	CCLE
C33A_CERVICAL	C33A_CERVICAL	intercell
C392	C392_UNKOWN	cosmic_clp
C3A	C3A_LIVER	cosmic_clp
C3A	C3A_LIVER	gdsc_en_input
C3A_LIVER	C3A_LIVER	CCLE
C47	C47_UNKOWN	cosmic_clp
C8166	C8166_UNKNOWN	gdsc_en_input
Ca-Ski	CASKI_CERVICAL	cosmic_clp
Ca-Ski	CASKI_CERVICAL	gdsc_en_input
CA46	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
CA46	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
Ca9-22	CA922_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
Ca9-22	CA922_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
CADO-ES1	CADOES1_BONE	cosmic_clp
CADOES1_BONE	CADOES1_BONE	CCLE
CAKI-1	CAKI1_KIDNEY	cosmic_clp
CAKI-1	CAKI1_KIDNEY	gdsc_en_input
CAKI1_KIDNEY	CAKI1_KIDNEY	CCLE
CAKI2_KIDNEY	CAKI2_KIDNEY	CCLE
CAL-120	CAL120_BREAST	cosmic_clp
CAL-120	CAL120_BREAST	gdsc_en_input
CAL-12T	CAL12T_LUNG	cosmic_clp
CAL-12T	CAL12T_LUNG	gdsc_en_input
CAL-148	CAL148_BREAST	cosmic_clp
CAL-148	CAL148_BREAST	gdsc_en_input
CAL-27	CAL27_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
CAL-27	CAL27_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
CAL-29	CAL29_URINARY_TRACT	cosmic_clp
CAL-33	CAL33_UPPER_AERODIGESTIVE_TRACT	cosmic_clp
CAL-33	CAL33_UPPER_AERODIGESTIVE_TRACT	gdsc_en_input
CAL-39	CAL39_VULVA	cosmic_clp
CAL-39	CAL39_VULVA	gdsc_en_input
CAL-51	CAL51_BREAST	cosmic_clp
CAL-51	CAL51_BREAST	gdsc_en_input
CAL-54	CAL54_KIDNEY	cosmic_clp
CAL-54	CAL54_KIDNEY	gdsc_en_input
CAL-62	CAL62_THYROID	cosmic_clp
CAL-62	CAL62_THYROID	gdsc_en_input
CAL-72	CAL72_BONE	cosmic_clp
CAL-72	CAL72_BONE	gdsc_en_input
CAL-78	CAL78_BONE	cosmic_clp
CAL-85-1	CAL851_BREAST	cosmic_clp
CAL-85-1	CAL851_BREAST	gdsc_en_input
CAL120_BREAST	CAL120_BREAST	CCLE
CAL120_BREAST	CAL120_BREAST	intercell
CAL12T_LUNG	CAL12T_LUNG	CCLE
CAL148_BREAST	CAL148_BREAST	CCLE
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL27_UPPER_AERODIGESTIVE_TRACT	CCLE
CAL29_URINARY_TRACT	CAL29_URINARY_TRACT	CCLE
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL33_UPPER_AERODIGESTIVE_TRACT	CCLE
CAL51_BREAST	CAL51_BREAST	CCLE
CAL51_BREAST	CAL51_BREAST	intercell
CAL54_KIDNEY	CAL54_KIDNEY	CCLE
CAL62_THYROID	CAL62_THYROID	CCLE
CAL72_BONE	CAL72_BONE	intercell
CAL78_BONE	CAL78_BONE	CCLE
CAL851_BREAST	CAL851_BREAST	CCLE
Calu-1	CALU1_LUNG	gdsc_en_input
Calu-3	CALU3_LUNG	cosmic_clp
Calu-3	CALU3_LUNG	gdsc_en_input
Calu-6	CALU6_LUNG	cosmic_clp
Calu-6	CALU6_LUNG	gdsc_en_input
CALU1_LUNG	CALU1_LUNG	CCLE
CALU3_LUNG	CALU3_LUNG	CCLE
CALU6_LUNG	CALU6_LUNG	CCLE
CAMA-1	CAMA1_BREAST	cosmic_clp
CAMA-1	CAMA1_BREAST	gdsc_en_input
CAMA1_BREAST	CAMA1_BREAST	CCLE
CAMA1_BREAST	CAMA1_BREAST	intercell
Caov-3	CAOV3_OVARY	cosmic_clp
Caov-3	CAOV3_OVARY	gdsc_en_input
Caov-4	CAOV4_OVARY	cosmic_clp
Caov-4	CAOV4_OVARY	gdsc_en_input
CAOV3_OVARY	CAOV3_OVARY	CCLE
CAOV3_OVARY	CAOV3_OVARY	intercell
CAOV4_OVARY	CAOV4_OVARY	CCLE
CAPAN-1	CAPAN1_PANCREAS	cosmic_clp
CAPAN-1	CAPAN1_PANCREAS	gdsc_en_input
Capan-2	CAPAN2_PANCREAS	cosmic_clp
CAPAN1_PANCREAS	CAPAN1_PANCREAS	CCLE
CAPAN2_PANCREAS	CAPAN2_PANCREAS	CCLE
CaR-1	CAR1_LARGE_INTESTINE	cosmic_clp
CaR-1	CAR1_LARGE_INTESTINE	gdsc_en_input
CAS-1	CAS1_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
CAS-1	CAS1_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCLE
CASKI_CERVICAL	CASKI_CERVICAL	intercell
CC197	CC197_UNKOWN	cosmic_clp
CC38	CC38_UNKOWN	cosmic_clp
CCF-STTG1	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	cosmic_clp
CCF-STTG1	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	gdsc_en_input
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCLE
CCK-81	CCK81_LARGE_INTESTINE	cosmic_clp
CCK81_LARGE_INTESTINE	CCK81_LARGE_INTESTINE	CCLE
CCRF-CEM	CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
CCRF-CEM	CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
CESS	CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
CESS	CESS_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
CFPAC-1	CFPAC1_PANCREAS	cosmic_clp
CFPAC-1	CFPAC1_PANCREAS	gdsc_en_input
CFPAC1_PANCREAS	CFPAC1_PANCREAS	CCLE
CGTH-W-1	CGTHW1_THYROID	cosmic_clp
CGTH-W-1	CGTHW1_THYROID	gdsc_en_input
CGTHW1_THYROID	CGTHW1_THYROID	CCLE
CH157MN_CENTRAL_NERVOUS_SYSTEM	CH157MN_CENTRAL_NERVOUS_SYSTEM	CCLE
ChaGo-K-1	CHAGOK1_LUNG	cosmic_clp
ChaGo-K-1	CHAGOK1_LUNG	gdsc_en_input
CHAGOK1_LUNG	CHAGOK1_LUNG	CCLE
CHL-1	CHL1_SKIN	cosmic_clp
CHL-1	CHL1_SKIN	gdsc_en_input
CHL1_SKIN	CHL1_SKIN	CCLE
CHP-126	CHP126_AUTONOMIC_GANGLIA	cosmic_clp
CHP-134	CHP134_AUTONOMIC_GANGLIA	cosmic_clp
CHP-134	CHP134_AUTONOMIC_GANGLIA	gdsc_en_input
CHP-212	CHP212_AUTONOMIC_GANGLIA	cosmic_clp
CHP-212	CHP212_AUTONOMIC_GANGLIA	gdsc_en_input
CHP126_AUTONOMIC_GANGLIA	CHP126_AUTONOMIC_GANGLIA	CCLE
CHP212_AUTONOMIC_GANGLIA	CHP212_AUTONOMIC_GANGLIA	CCLE
CHSA0011	CHSA0011_NS	cosmic_clp
CHSA0108	CHSA0108_NS	cosmic_clp
CHSA8926	CHSA8926_NS	cosmic_clp
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
CJM_SKIN	CJM_SKIN	CCLE
CL-11	CL11_LARGE_INTESTINE	cosmic_clp
CL-34	CL34_LARGE_INTESTINE	cosmic_clp
CL-40	CL40_LARGE_INTESTINE	cosmic_clp
CL11_LARGE_INTESTINE	CL11_LARGE_INTESTINE	CCLE
CL14_LARGE_INTESTINE	CL14_LARGE_INTESTINE	CCLE
CL34_LARGE_INTESTINE	CL34_LARGE_INTESTINE	CCLE
CL40_LARGE_INTESTINE	CL40_LARGE_INTESTINE	CCLE
CMK	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
CMK	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	gdsc_en_input
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
CML-T1	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	cosmic_clp
CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMLT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CCLE
COLO-205	COLO205_LARGE_INTESTINE	cosmic_clp
COLO-205	COLO205_LARGE_INTESTINE	gdsc_en_input
COLO-320-HSR	COLO320_LARGE_INTESTINE	cosmic_clp
COLO-320-HSR	COLO320_LARGE_INTESTINE	gdsc_en_input
COLO-668	COLO668_LUNG	cosmic_clp
COLO-668	COLO668_LUNG	gdsc_en_input
COLO-678	COLO678_LARGE_INTESTINE	cosmic_clp
COLO-678	COLO678_LARGE_INTESTINE	gdsc_en_input
COLO-679	COLO679_SKIN	cosmic_clp
COLO-679	COLO679_SKIN	gdsc_en_input
COLO-680N	COLO680N_OESOPHAGUS	cosmic_clp
COLO-680N	COLO680N_OESOPHAGUS	gdsc_en_input
COLO-684	COLO684_ENDOMETRIUM	cosmic_clp
COLO-684	COLO684_ENDOMETRIUM	gdsc_en_input
COLO-741	COLO741_LARGE_INTESTINE	cosmic_clp
COLO-741	COLO741_LARGE_INTESTINE	gdsc_en_input
COLO-783	COLO783_NS	cosmic_clp
