#consequence	classification	source
ess splice	trunc	ICR_BONE
frameshift	trunc	ICR_BONE
inframe	aa_sub	ICR_BONE
inframe_deletion	aa_sub	ICR_BONE
inframe_insertion	aa_sub	ICR_BONE
intergenic	non_coding	ICR_BONE
intronic	non_coding	ICR_BONE
missense	aa_sub	ICR_BONE
nonsense	trunc	ICR_BONE
silent	non_coding	ICR_BONE
start-lost	aa_sub	ICR_BONE
stop_lost	aa_sub	ICR_BONE
stop-lost	aa_sub	ICR_BONE
unknown	non_coding	ICR_BONE
upstream	non_coding	ICR_BONE
Frame_Shift_Del	trunc	Biankin_Aug_2015
Frame_Shift_Ins	trunc	Biankin_Aug_2015
In_Frame_Del	aa_sub	Biankin_Aug_2015
Missense_Mutation	aa_sub	Biankin_Aug_2015
Nonsense_Mutation	trunc	Biankin_Aug_2015
Nonstop_Mutation	aa_sub	Biankin_Aug_2015
Silent	non_coding	Biankin_Aug_2015
Splice_Site	trunc	Biankin_Aug_2015
